Measurement Name :,20181109_Clown2,,Generated On :,"09/11/2018, 14:12:09",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01
PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON
FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY
",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
09.11.18 14:01:07,0.8,126.47,96.85,134.02,84.93,162.61,99.42,148.57,135.11,148.85,75.95,149.13,122.19,84.43,153.59,130.77,181.63,69.05,155.84,125.66,183.97,97.88,167.17,138.38,185.15,,29,965,34,27.51,
09.11.18 14:01:22,1.05,127.27,96.08,134.29,85.69,164.32,97.11,149.41,135.11,149.41,76.2,149.69,120.59,83.68,154.15,131.58,183.39,69.05,156.96,125.13,184.85,97.62,168.32,137.56,186.91,,29,965,34,27.44,
09.11.18 14:01:37,1.3,126.73,95.32,133.75,87.2,165.17,96.6,149.69,134.84,150.24,76.2,150.52,120.59,82.92,154.99,131.85,184.85,69.05,157.24,125.66,186.62,97.88,169.75,137.29,188.09,,29,965,34,27.36,
09.11.18 14:01:52,1.55,126.47,94.04,133.48,86.69,165.46,93.79,149.13,134.29,149.97,75.21,149.69,118.73,81.67,154.71,131.31,185.44,67.83,156.4,124.59,186.91,96.6,170.04,135.11,188.09,,29,965,34,27.33,
09.11.18 14:02:08,1.82,126.47,93.02,132.94,86.94,166.03,91.5,149.41,134.57,150.24,74.96,149.69,117.67,81.42,155.84,131.58,186.62,67.83,156.96,124.86,188.68,96.85,170.9,134.57,189.57,,29,965,34,27.28,
09.11.18 14:02:23,2.07,125.93,92.01,132.4,86.19,166.32,89.72,148.85,134.02,150.24,74.22,149.69,116.09,80.18,155.56,131.31,187.5,66.85,156.96,124.06,189.28,96.08,171.48,133.75,190.46,,29,965,34,27.25,
09.11.18 14:02:38,2.32,125.66,90.99,132.12,85.69,166.32,88.21,148.57,134.02,150.8,73.73,149.41,114.51,79.93,155.28,131.31,188.39,66.85,156.96,123.52,190.16,95.32,171.76,132.4,191.05,,29,965,34,27.22,
09.11.18 14:02:53,2.57,125.13,89.72,131.04,83.93,166.03,85.43,148.02,132.12,149.69,72.25,148.57,112.93,78.93,154.99,129.42,188.68,65.88,156.12,122.45,189.87,93.53,171.19,130.5,191.35,,29,965,34,27.21,
09.11.18 14:03:08,2.82,125.13,88.71,131.31,83.43,167.46,83.93,147.74,132.94,150.8,71.75,149.13,111.62,78.43,154.99,129.69,189.28,66.12,157.24,122.45,191.94,93.53,172.34,129.69,192.84,,29,965,34,27.19,
09.11.18 14:03:24,3.08,124.59,87.2,130.23,81.92,166.89,81.67,147.19,132.4,149.97,70.77,148.3,109.52,77.19,154.99,127.81,190.46,64.9,156.4,121.65,191.94,92.51,172.63,128.08,193.13,,29,965,34,27.18,
09.11.18 14:03:39,3.33,123.25,85.43,129.15,79.68,166.32,80.43,146.08,130.77,149.13,69.79,147.46,107.44,75.7,154.15,127.27,190.46,64.42,155.84,120.32,191.94,91.5,171.19,126.47,193.13,,29,965,34,27.16,
09.11.18 14:03:54,3.58,123.52,84.68,128.62,78.93,166.32,78.18,145.25,130.23,149.97,68.56,147.19,105.62,75.46,154.43,126.2,190.76,63.93,155.84,120.32,192.54,90.48,172.05,125.39,194.03,,29,965,34,27.15,
09.11.18 14:04:09,3.83,122.99,83.43,127.81,77.19,166.32,76.69,143.87,129.42,149.41,68.07,146.63,103.8,74.71,153.59,124.86,191.65,63.2,155.28,119.53,193.13,89.47,171.76,124.06,193.73,,29,965,34,27.15,
09.11.18 14:04:24,4.1,122.72,81.92,127,75.95,166.03,75.46,143.6,128.62,149.69,67.34,146.08,102.25,73.97,153.87,124.32,192.24,63.2,155.28,118.73,194.33,88.21,172.05,122.72,194.92,,29,965,34,27.14,
09.11.18 14:04:40,4.35,122.19,81.17,125.66,74.47,165.46,74.22,142.49,127.81,149.13,66.12,145.25,100.7,72.49,153.03,122.45,192.54,62.47,154.71,117.67,194.33,87.2,171.48,121.12,195.22,,29,965,34,27.13,
09.11.18 14:04:55,4.6,121.92,79.43,124.59,72,165.17,72,141.39,126.2,148.57,64.66,144.42,98.9,72,152.75,120.86,192.54,61.99,153.87,116.35,194.62,86.44,171.19,119.79,195.52,,29,965,34,27.13,
09.11.18 14:05:10,4.85,121.39,78.18,124.32,70.53,165.46,71.26,140.85,125.39,148.57,63.93,143.32,96.6,71.02,152.2,120.32,192.84,61.26,153.87,115.82,195.52,85.18,171.19,118.47,195.82,,29,965,34,27.11,
09.11.18 14:05:25,5.1,120.32,76.45,122.72,68.56,164.32,69.54,139.75,123.52,147.74,62.72,142.77,94.81,70.03,151.64,118.73,194.03,60.3,153.59,114.77,195.82,83.93,170.33,116.35,195.82,,29,965,34,27.11,
09.11.18 14:05:41,5.37,120.32,76.45,122.72,67.34,164.6,68.81,139.47,122.19,148.3,62.23,142.49,93.79,69.54,151.64,118.47,194.33,60.3,153.59,114.77,195.82,84.18,170.9,116.09,196.72,,29,965,34,27.11,
09.11.18 14:05:56,5.62,119.79,74.22,121.39,65.39,164.04,66.85,137.83,120.86,148.02,61.02,141.12,91.5,68.56,150.52,116.35,194.33,59.57,152.48,112.93,196.42,82.67,170.04,114.24,195.82,,29,965,34,27.11,
09.11.18 14:06:11,5.87,119,72.74,120.06,63.2,163.75,65.15,136.47,119.53,147.19,59.09,139.47,89.22,67.34,149.41,114.24,194.33,58.12,151.36,111.62,195.82,81.17,169.18,112.67,196.12,,29,965,34,27.11,
09.11.18 14:06:26,6.12,118.73,72.25,119.53,61.75,162.9,63.69,135.65,117.67,146.63,58.12,138.93,86.69,66.61,148.57,112.93,194.62,58.37,151.08,111.09,196.12,80.43,168.32,111.09,195.82,,29,965,34,27.11,
09.11.18 14:06:41,6.37,118.2,71.02,119.79,59.57,162.61,62.72,134.29,116.09,146.08,57.4,137.83,85.43,65.88,148.57,112.14,194.92,57.88,150.24,110.05,197.01,79.68,168.32,109.78,196.12,,29,965,34,27.11,
09.11.18 14:06:57,6.63,118.2,69.3,119.53,58.37,162.9,61.5,133.75,115.03,146.08,56.92,137.02,83.93,65.15,148.02,110.57,194.92,57.16,149.97,109.26,197.01,78.93,168.03,108.48,195.82,,29,965,34,27.11,
09.11.18 14:07:12,6.88,117.67,69.05,119.26,56.68,162.61,60.78,132.67,112.93,146.08,55.96,136.74,82.42,64.66,147.74,109.52,195.52,56.92,149.97,107.96,197.31,78.43,167.46,107.18,197.01,,29,965,34,27.13,
09.11.18 14:07:27,7.13,116.88,67.59,118.47,55.24,160.91,59.57,131.04,111.62,145.8,54.76,135.38,79.68,63.2,146.63,106.92,195.22,56.2,149.13,107.18,196.42,76.69,166.6,105.88,196.42,,29,965,34,27.13,
09.11.18 14:07:42,7.38,116.09,66.85,118.2,53.57,161.2,58.37,131.04,109.52,144.97,53.81,134.84,78.18,62.96,146.08,106.4,195.82,55.72,148.57,106.66,196.72,76.45,166.32,104.32,196.42,,29,965,34,27.14,
09.11.18 14:07:57,7.63,116.35,66.36,118.2,52.61,160.63,57.64,129.96,108.48,144.97,53.81,134.29,77.19,62.47,146.08,106.14,195.82,55.48,148.3,106.14,197.91,75.7,166.32,103.54,196.72,,29,965,34,27.11,
09.11.18 14:08:13,7.9,115.82,64.9,117.67,50.94,160.35,56.68,129.42,106.92,144.7,52.61,133.21,75.95,61.99,144.97,104.32,196.12,54.76,147.74,104.84,198.21,74.71,166.03,102.51,197.31,,29,965,34,27.14,
09.11.18 14:08:28,8.15,115.56,63.93,116.62,49.28,160.35,55.24,128.08,104.84,144.42,52.13,132.4,74.22,61.02,144.15,103.29,196.12,54.04,147.74,103.8,197.61,73.97,165.46,100.7,197.31,,29,965,34,27.13,
09.11.18 14:08:43,8.4,115.3,63.2,116.62,48.57,159.78,55,128.08,103.54,144.15,50.94,132.12,72.49,60.54,144.7,102.77,196.72,54.04,147.74,103.8,199.11,73.97,165.17,100.19,197.61,,29,965,34,27.14,
09.11.18 14:08:58,8.65,115.03,62.23,115.56,46.44,159.5,53.81,126.73,101.99,143.87,50.23,130.5,71.02,59.81,143.6,100.96,196.72,53.57,146.36,102.25,198.81,72.49,165.17,98.65,197.91,,29,965,34,27.15,
09.11.18 14:09:13,8.92,114.51,61.5,115.03,45.02,158.37,53.33,125.93,100.19,143.04,49.75,130.23,69.79,59.09,142.77,100.19,197.01,52.85,146.36,100.96,198.81,72.25,164.32,97.36,198.21,,29,965,34,27.15,
09.11.18 14:09:29,9.17,113.98,60.78,114.51,43.61,158.09,52.13,124.32,98.65,142.77,49.04,129.15,67.59,58.37,142.22,98.65,196.72,52.61,145.8,100.19,199.11,71.51,163.47,96.85,197.91,,29,965,34,27.15,
09.11.18 14:09:44,9.42,113.72,60.05,113.72,42.43,158.09,51.18,124.06,97.36,142.77,48.33,128.62,66.85,58.37,141.94,97.62,197.01,52.61,144.97,99.67,198.81,70.53,163.18,95.57,198.51,,29,965,34,27.15,
09.11.18 14:09:59,9.67,113.72,59.09,113.19,41.73,157.81,50.47,123.52,95.83,142.22,47.62,127,65.88,57.4,140.85,96.34,196.72,51.66,144.97,98.9,199.41,70.03,163.18,94.55,198.51,,29,965,34,27.16,
09.11.18 14:10:14,9.92,113.19,57.88,112.93,40.79,156.4,49.52,122.19,94.04,141.94,46.91,125.93,64.17,56.92,140.57,95.06,197.61,51.42,144.15,98.39,198.81,69.3,162.33,93.28,197.91,,29,965,34,27.16,
09.11.18 14:10:30,10.18,113.19,57.64,112.93,39.85,156.4,49.52,122.19,92.51,141.39,46.44,125.93,62.72,56.68,140.57,93.79,197.91,51.18,144.15,97.62,199.71,68.81,162.61,92.77,198.51,,29,965,34,27.18,
09.11.18 14:10:45,10.43,112.67,56.68,112.67,38.45,156.12,48.33,121.12,90.74,140.85,45.49,123.79,61.26,55.24,139.2,92.51,197.31,50.7,143.04,96.85,199.41,68.32,161.48,91.5,197.91,,29,965,34,27.18,
09.11.18 14:11:00,10.68,111.88,55.96,111.88,37.52,155.28,47.15,119.26,88.96,140.85,44.78,123.52,60.3,54.76,138.65,91.24,197.91,50.23,142.22,96.08,199.41,67.1,160.91,90.23,198.21,,29,965,34,27.18,
09.11.18 14:11:15,10.93,111.62,55.48,112.4,37.29,155.56,47.38,119.26,87.45,140.57,44.55,123.25,59.57,54.76,138.11,90.74,198.51,49.99,142.77,95.06,200.02,66.85,160.91,89.47,198.81,,29,965,34,27.19,
09.11.18 14:11:30,11.18,111.35,54.28,112.4,35.66,154.43,46.44,118.2,86.19,140.57,43.61,121.92,57.64,53.81,137.02,89.47,197.31,49.28,141.39,93.79,199.41,65.88,160.06,88.46,198.21,,29,965,34,27.22,
09.11.18 14:11:46,11.45,110.57,53.81,112.4,34.96,154.43,45.73,117.41,85.18,140.02,43.61,121.12,56.2,53.81,137.02,88.46,198.21,48.57,141.67,93.28,200.92,65.63,159.5,87.95,198.51,,29,965,34,27.21,
